#Nombre	Características	Progresión	Habilidades {AñadirHabilidadDesbloqueada1; AñadirHabilidadDesbloqueada2;...} [Especialidad1; Especialidad2; ...]
################################################################
Armadura·Ligera(ArdL)	Ag/Fu/Ag	Estándar	Cuero Endurecido [TA9; TA10; TA11], Cuero Blando [TA5; TA6; TA7]
Armadura·Media(ArdM)	Fu/Ag/Fu	Estándar	Cota de Mallas [TA13; TA14; TA15; TA16]
Armadura·Pesada(ArdP)	Fu/Ag/Fu	Estándar	Coraza [TA17; TA18; TA19; TA20]
Armas·2manos(Arm2M)	Fu/Ag/Fu	Estándar	noimporta
Armas·Arrojadizas(ArmAj)	Ag/Fu/Ag	Estándar	noimporta
Armas·Artillería(ArmAt)	In/Ag/Ra	Estándar	noimporta
Armas·Contundentes(ArmC)	Fu/Ag/Fu	Estándar	noimporta
Armas·Asta(ArmAs)	Fu/Ag/Fu	Estándar	noimporta
Armas·Filo(ArmF)	Fu/Ag/Fu	Estándar	noimporta
Armas·Fuego 1mano(ArmFue1)	Ag/Fu/Ag	Estándar	noimporta
Armas·Fuego 2manos(ArmFue2)	Ag/Fu/Ag	Estándar	noimporta
Armas·Proyectiles(ArmPr)	Ag/Fu/Ag	Estándar	noimporta
Arte·Activo(ArtA)	Pr/Em/Ag	Estándar	Actuar, Bailar, Cantar, Imitar Sonidos, Improvisación Poética, Mímica, Narrar Historias, Tocar Instrumento, Ventriloquia
Arte·Pasivo(ArtP)	Em/In/Pr	Estándar	Escultura, Música, Pintura, Poesía
Artes Marciales·Barridos(AmB)	Ag/Fu/Fu	Estándar	Barridos de Artes Marciales, Blocar, Lucha Libre, Inmovilizar
Artes Marciales·Golpes(AmG)	Fu/Ag/Fu	Estándar	Boxeo, Placaje, Golpes de Artes Marciales
Artes Marciales·Maniobras de Combate(AmMC)	Ag/Rp/Ag	Combinada	Esquiva Adrenal, Evasión Adrenal
Ataques Especiales(AtaEsp)	Fu/Ag/Ad	Combinada	Ataque Racial: Extremidades*, Ataque Racial: Boca*, Ataque Racial: Aliento*, Ataque Racial: Otro*, Ataque Racial: Vómito*, Desarmar Enemigo (Armado), Desarmar Enemigo (Desarmado), Fintar (Armado), Fintar (Desarmado), Justar, Pelea
Atletismo·Gimnasia(AtlG)	Ag/Rp/Ag	Estándar	Juegos Atléticos (Gimnasia), Acrobacias, Caer, Contorsionismo, Malabarismos, Trepar, Volar/Planear, Volteretas, Caminar con Zancos, Caminar por la Cuerda Floja, Esquiar, Hacer Surf, Patinar, Rappelling, Salto con Pértiga
Atletismo·Potencia(AtlP)	Fu/Co/Ag	Estándar	Juegos Atléticos (Potencia), Levantar Pesos, Saltar, Golpe Poderoso, Lanzamiento Poderoso
Atletismo·Resistencia(AtlR)	Co/Ag/Fu	Estándar	Juegos Atléticos (Resistencia), Carrera de Fondo, Escalar, Esprintar, Nadar, Remar
Autocontrol(Autoc)	Ad/Pr/Ad	Estándar	Frenesí, Meditación, Mnemotecnia, Superar Aturdimiento, Caída Adrenal, Concentración Adrenal, Control de la Licantropía (R), Desenvainar Adrenal, Equilibrio Adrenal, Estabilización Adrenal (R), Fuerza Adrenal, Maniobrar Aturdido, Salto Adrenal, Trance Adormecedor, Trance de la Muerte  (R), Trance Purificador  (R), Trance Sanador, Velocidad Adrenal
Ciencia/Analítica·Básica(CienB)	Ra/Me/Ra	Estándar	Documentación, Matemáticas Básicas
Ciencia/Analítica·Especializada(CienE)	Ra/Me/Ra	Combinada	Alquimia, Antropología, Matemáticas Avanzadas, Astronomía, Bioquímica, Psicología, Anatomía
Comunicación(Comun)	Ra/Me/Em	Estándar	Hablar Habla Común, Escribir Habla Común, Hablar Habla de las Llanuras, Escribir Habla de las Llanuras, Hablar Habla Alta, Escribir Habla Alta, Hablar Habla del Desierto, Escribir Habla del Desierto, Hablar Habla del Norte, Escribir Habla del Norte, Hablar Habla del Sur, Escribir Habla del Sur, Hablar Habla de los Mares, Escribir Habla de los Mares, Hablar Habla de las Colinas, Escribir Habla de las Colinas, Hablar Habla de los Bosques, Escribir Habla de los Bosques, Leer los Labios, Señales, Idiomas Mágicos  (R), Idiomas Mágicos: Hechizos Elementales (R), Idiomas Mágicos: Espiritus (R)
Conocimiento·General(ConGen)	Me/Ra/Me	Estándar	Conocimiento de la Fauna, Conocimiento de la Flora, Conocimiento Cultural, Conocimiento Regional, Filosofía, Heráldica, Historia, Religión, Conocimiento de Estilos Marciales, Conocimiento de Estilos de Armas
Conocimiento·Mágico(ConMag)	Me/Ra/Me	Estándar	Conocimiento de los Artefactos, Conocimiento de los Hechizos, Conocimiento de los No-Muertos, Conocimiento de las Protecciones, Conocimiento de los Planos, Conocimiento de los Símbolos
Conocimiento·Oscuro(ConOsc)	Me/Ra/Me	Estándar	Conocimiento de las Hadas, Conocimiento de los Dragones, Demonología, Xeno-Conocimientos*
Conocimiento·Técnico(ConTec)	Me/Ra/Me	Estándar	Conocimiento de la Piedra, Conocimiento de las Cerraduras, Conocimiento de las Hierbas, Conocimiento de los Metales, Conocimiento de los Venenos, Conocimiento del Comercio
