# Nombre	Coste	Permitido	Grado	Tipo	Categoria1 (bonus), Categoria2 (bonus), {listado a seleccionar una}...	Descripcion	
#########	#########	#########	#######	#########	#########	#########	
Acróbata	7	Todos	Menor	Adiestramiento Especial	Atletismo·Gimnasia (20)	Pagina 52 del Manual de Personajes.
Adherencia	25	Todos	Máximo	Capacidad Especial	Trepar (50)	Puedes caminar por las paredes o techos. Consulta la página 68 del libro de personajes para más información.	
Adicción Ligera	-20	Todos	Máximo	Mental	Ninguno	Consulta la página 90 del libro de personajes para más información.	
Adicción Mínima	-5	Todos	Mínimo	Mental	Ninguna	Consulta la página 90 del libro de personajes para más información.	
Adiestramiento en Artes Marciales (Máximo)	30	Todos	Máximo	Adiestramiento Especial	Artes Marciales·Barridos (20), Artes Marciales·Golpes (20), Artes Marciales·Maniobras de Combate (20), Autocontrol (20), Defensas Especiales (20), Defensas Especiales (Común)	Una habilidad de defensas especiales es común. Consulta la página 52 del libro de personajes para más información.	
Adiestramiento en Artes Marciales (Mayor)	15	Todos	Mayor	Adiestramiento Especial	Artes Marciales·Barridos (15), Artes Marciales·Golpes (15), Artes Marciales·Maniobras de Combate (15), Autocontrol (15), Defensas Especiales (15)	Consulta la página 52 del libro de personajes para más información.	
Adiestramiento en Artes Marciales (Menor)	10	Todos	Menor	Adiestramiento Especial	Artes Marciales·Barridos (10), Artes Marciales·Golpes (10), Artes Marciales·Maniobras de Combate (10), Autocontrol (10), Defensas Especiales (10)	Consulta la página 52 del libro de personajes para más información.	
Adiestramiento Mortal	15	Todos	Mayor	Adiestramiento Especial	Conocimiento de los Venenos (25), Usa/Curar Venenos (25), Ataque Silencioso (25), Acechar (25), Esconderse (25), Emboscar (25)	Consulta la página 52 del libro de personajes para más información.	
Afán Nigromántico	-15	Todos	Mayor	Espeical	Ninguno	Al morir te conviertes en Lich o Vampiro. Eres resistente a los hechizos de Preservación y Resucitar. Tu partida del alma es de 1. Consulta la página 97 del libro de personajes para más información.	
Afición Compulsiva	-5	Todos	Mínimo	Mental	Ninguno	Tienes una afición que te ocupa gran parte del tiempo. Tirada de Adx3 para resistirse a ella. Consulta la página 90 del libro de personajes para más información.	
Ansia de Sangre	-10	Todos	Menor	Mental	Ninguno	Si llega el momento que debes de aceptar la rendición del enemigo, debes hacer una tirada bajo Adx3 o no puedes evitar matarlo. Consulta la página 90 del libro de personajes para más información.	
Arma Natural	15	Todos	Mayor	Otros	Ninguna	Tienes garras, púas, zarpas, pinzas... que puedes usar para atacar desarrollando la habilidad pertinente en Ataques Especiales. Esta habilidad será común para ti. 
Arquero Nato 	8	Todos	Menor	Adiestramiento Especial	Armas·Proyectiles (5)	Aumentas el alcance de todos los arcos un 25%. Consulta la página 52 del libro de personajes para más información.	
Aspecto Único (Máximo)	-15	Todos	Máximo	Físico	Ninguna	Posees una apariencia única. Algo que es significativamente distinguible en ti. Esto causa que la gente te reconozca mucho más fácilmente. No se puede ocultar y resta 2d10 a Apariencia. Consulta la página 81 del libro de personajes para más información.	
Aspecto Único (Menor)	-10	Todos	Menor	Físico	Ninguna	Posees una apariencia única. Algo que es significativamente distinguible en ti. Esto causa que la gente te reconozca mucho más fácilmente. Necesitas un disfraz para ocultarlo. Cuando no estás disfrazado, debes restar d10 a Apariencia. Consulta la página 81 del libro de personajes para más información.	
Aspecto Único (Mínimo)	-5	Todos	Mínimo	Físico	Ninguna	Posees una apariencia única. Algo que es significativamente distinguible en ti. Esto causa que la gente te reconozca mucho más fácilmente. Lo que te hace único es relativamente fácil de ocultar. Consulta la página 81 del libro de personajes para más información.	
Ataque Natural a Distancia (Mayor)	15	Todos	Mayor	Capacidad Especial	Ninguna	Puedes realizar un ataque a distancia equivalente a un rayo de descarga. Debes desarrollar esta habilidad.
Aura	20	Todos	Máximo	Capacidad Mágica	Desarrollo de Puntos de Poder (+4/r)	Te da +4 a cada rango de la habilidad de Desarrollo de Puntos de Poder. Consulta la página 62 del libro de personajes para más información.	
Avaro	-5	Todos	Mínimo	Mental	Ninguno	Siempre que gastes grandes sumas de dinero, deberás tirar una tirada bajo AD. Consulta la página 90 del libro de personajes para más información.	
